بسم	bism
شديد العقاب	syadīdul-‘iqāb
أشهر معلومات	asy-hurum ma’lụmāt
فرض فيهن	faraḍa fīhinn
خير يعلمه	khairiy ya’lam-h
الزاد التقوى	az-zādit-taqwā
تبتغوا فضلا	abtagụ faḍlā
عرفات فاذكروا	‘arafātin fażkurụ
لمن الضالين	laminaḍ-ḍāllīn
حيث أفاض	ḥaiṡu afāḍ
قضيتم مناسككم	qaḍaitum manasikakum
يقول ربنا 	yaqụlu rabbanā
حسنة وقنا	ḥasanataw wa qinā
مما كسبوا	mimmā kasabụ
أيام معدودات	ayyāmim ma’dụdāt
تعجل في	ta’ajjala fī
تأخر فلا	ta`akhkhara fa lā
واعلموا أنكم	wa’lamū annakum
يعجبك قوله	yu’jibuka qauluh
الحرث والنسل	al-ḥarṡa wan-nasl
يحب الفساد	yuḥibbul-fasād
أخذته العزة	akhażat-hul-‘izzah
ولبئس المهاد	wa labi`sal-mihād
يشري نفسه	yasyrī nafsah
رءوف بالعباد	ra`ụfum bil-‘ibād
تتبعوا خطوات	tattabi’ụ khuṭuwāt
فإن زللتم	fa in zalaltum
الغمام والملائكة	al-gamāmi wal-malā`ikah
ترجع الأمور	turja’ul-umụr
إسرائيل كم	isrā`īla kam
يبدل نعمة	yubaddil ni’mah
الدنيا ويسخرون	ad-dun-yā wa yaskharụn
يشاء بغير	yasyā`u bigair
أمة واحدة	ummataw wāḥidah
النبيين مبشرين	an-nabiyyīna mubasysyirīn
جاءتهم البينات	jā`at-humul-bayyināt
الحق بإذنه	al-ḥaqqi bi`iżnih
إلى صراط	ilā ṣirāṭ
يأتكم مثل	ya`tikum maṡal
والضراء وزلزلوا	waḍ-ḍarrā`u wa zulzilụ
إن نصر	inna naṣr
يسألونك ماذا	yas`alụnaka māżā
فللوالدين والأقربين	fa lil-wālidaini wal-aqrabīn
تفعلوا من	taf’alụ min
القتال وهو	al-qitālu wa hụ
تكرهوا شيئا	takrahụ syai`a
تحبوا شيئا	tuḥibbụ syai`a
يعلم وأنتم	ya’lamu wa antum
الحرام قتال	al-ḥarāmi qitāl
فيه كبير	fīhi kabīr
إخراج أهله	ikhrāju ahlih
والفتنة أكبر	wal-fitnatu akbar
إن استطاعوا	inistaṭā’ụ
دينه فيمت	dīnihī fa yamut
يرجون رحمت	yarjụna raḥmat
الخمر والميسر	al-khamri wal-maisir
ومنافع للناس	wa manafi’u lin-nās
ويسألونك ماذا	wa yas`alụnaka māżā
قل العفو	qulil-‘afụ
الآيات لعلكم	al-āyāti la’allakum
عن اليتامى	‘anil-yatāmā
قل إصلاح	qul iṣlāḥ
تخالطوهم فإخوانكم	tukhāliṭụhum fa ikhwānukum
يعلم المفسد	ya’lamul-mufsid
الله لأعنتكم	allāhu la`a’natakum
تنكحوا المشركات	tangkiḥul-musyrikāt
مشركة ولو	musyrikatiw walau
تنكحوا المشركين	tungkiḥul-musyrikīn
ولعبد مؤمن 	wa la’abdum mu`min
والمغفرة بإذنه	wal-magfirati bi`iżnih
ويبين آياته	wa yubayyinu āyātih
عن المحيض	‘anil-maḥīḍ
أذى فاعتزلوا	ażan fa’tazilụ
تطهرن فأتوهن	taṭahharna fa`tụhunn
التوابين ويحب	at-tawwābīna wa yuḥibb
شئتم وقدموا	syi`tum wa qaddimụ
أنكم ملاقوه	annakum mulāqụh
وبشر المؤمنين	wa basysyiril-mu`minīn
عرضة لأيمانكم	‘urḍatal li`aimānikum
الله باللغو	allāhu bil-lagụ
نسائهم تربص	nisā`ihim tarabbuṣ
عزموا الطلاق	‘azamuṭ-ṭalāq
والمطلقات يتربصن	wal-muṭallaqātu yatarabbaṣn
في أرحامهن	 fī ar-ḥāmihinn
أحق بردهن	aḥaqqu biraddihinn
بالمعروف وللرجال	bil-ma’rụfi wa lir-rijāl
تسريح بإحسان	tasrīḥum bi`iḥsān
ألا يقيما	allā yuqīmā
 فيما افتدت به	fīmaftadat bih
فلا تعتدوها	fa lā ta’tadụhā
يتعد حدود	yata’adda ḥudụd
تنكح زوجا	tangkiḥa zaujā
يقيما حدود	yuqīmā ḥudụd
يبينها لقوم	yubayyinuhā liqaum
فبلغن أجلهن	fa balagna ajalahunn
ضرارا لتعتدوا	ḍirāral lita’tadụ
ظلم نفسه	ẓalama nafsah
والحكمة يعظكم	wal-ḥikmati ya’iẓukum
واعلموا أن	wa’lamū an
ينكحن أزواجهن 	yangkiḥna azwājahun
يوعظ به 	yụ’aẓu bih
ذلكم أزكى	żālikum azkā
والوالدات يرضعن	wal-wālidātu yurḍi’n
رزقهن وكسوتهن	rizquhunna wa kiswatuhun
تكلف نفس	tukallafu nafs
لا تضار والدة	lā tuḍārra wālidah
أرادا فصالا	arādā fiṣālā
 تسترضعوا أولادكم	tastarḍi’ū aulādakum
بأنفسهن أربعة	bi`anfusihinna arba’ah
أنفسهن بالمعروف	anfusihinna bil-ma’rụf
خطبة النساء	khiṭbatin-nisā`
ستذكرونهن ولكن	satażkurụnahunna wa lākin
تعزموا عقدة	ta’zimụ ‘uqdah
أنفسكم فاحذروه	anfusikum faḥżarụh
 تمسوهن أو تفرضوا	tamassụhunna au tafriḍụ
متاعا بالمعروف	matā’am bil-ma’rụf
على المحسنين	‘alal-muḥsinīn
 فريضة فنصف	farīḍatan fa niṣf
تعفوا أقرب	ta’fū aqrab
تنسوا الفضل	tansawul-faḍl
الصلوات والصلاة	aṣ-ṣalawāti waṣ-ṣalāh
فرجالا أو ركبانا	fa rijālan au rukbānā
أمنتم فاذكروا	amintum fażkurụ
أزواجا وصية	azwājaw waṣiyyah
خرجن فلا	kharajna fa lā
وللمطلقات متاع	wa lil-muṭallaqāti matā’
كذلك يبين	każālika yubayyin
الموت فقال	al-mauti fa qāl
ثم أحياهم	ṡumma aḥyāhum
لذو فضل	lażụ faḍl
حسنا فيضاعفه	ḥasanan fa yuḍā’ifah
يقبض ويبسط	yaqbiḍu wa yabṣuṭ
تر إلى الملإ	tara ilal-mala`
ملكا نقاتل	malikan-nuqātil
القتال ألا	al-qitālu allā
ديارنا وأبنائنا	diyārinā wa abnā`inā
القتال تولوا	al-qitālu tawallau
طالوت ملكا	ṭālụta malikā
يؤت سعة	yu`ta sa’ah
الله اصطفاه	allāhaṣṭafāh
يؤتي ملكه	yu`tī mulkah
يأتيكم التابوت	ya`tiyakumut-tābụt
ذلك لآية	 żālika la`āyat
مبتليكم بنهر	mubtalīkum binahar
فليس مني	fa laisa minnī
اغترف غرفة	igtarafa gurfah
فشربوا منه	fa syaribụ min-h
اليوم بجالوت	al-yauma bijālụt
قليلة غلبت	qalīlatin galabat
وثبت أقدامنا	wa ṡabbit aqdāmanā
فهزموهم بإذن	fa hazamụhum bi`iżn
داوود جالوت	dāwụdu jālụt
ببعض لفسدت	biba’ḍil lafasadat
نتلوها عليك	natlụhā ‘alaik
لمن المرسلين	laminal-mursalīn
الرسل فضلنا	ar-rusulu faḍḍalnā
ورفع بعضهم	wa rafa’a ba’ḍahum
البينات وأيدناه	al-bayyināti wa ayyadnāh
ما اقتتل	maqtatal
خلة ولا شفاعة	khullatuw wa lā syafā’ah
والكافرون هم	wal-kāfirụna hum
الحي القيوم	al-ḥayyul-qayyụm
تأخذه سنة	ta`khużuhụ sinah
السماوات وما	as-samāwāti wa mā
يشفع عنده	yasyfa’u ‘indah
بين أيديهم	baina aidīhim
يحيطون بشيء	yuḥīṭụna bisyai`
وسع كرسيه	wasi’a kursiyyuh
يئوده حفظهما	ya`ụduhụ ḥifẓuhumā
لا إكراه	lā ikrāh
قد تبين الرشد	qat tabayyanar-rusyd
فقد استمسك	fa qadistamsak
يخرجهم من الظلمات	yukhrijuhum minaẓ-ẓulumāt
أولياؤهم الطاغوت	auliyā`uhumuṭ-ṭāgụt
ربه أن آتاه	rabbihī an ātāh
ربي الذي يحيي	rabbiyallażī yuḥyī
المشرق فأت بها	al-masyriqi fa`ti bihā
وهي خاوية	wa hiya khāwiyah
يحيي هذه	yuḥyī hāżih
ثم بعثه	ṡumma ba’aṡah
قال كم لبثت	qāla kam labiṡt
لبثت يوما	labiṡtu yaumā
لبثت مائة	labiṡta mi`ah
إلى حمارك	ilā ḥimārik
كيف ننشزها	kaifa nunsyizuhā
فلما تبين له 	fa lammā tabayyana lah
رب أرني كيف	rabbi arinī kaif
أولم تؤمن	a wa lam tu`min
ليطمئن قلبي	liyaṭma`inna qalbī
ثم ادعهن	ṡummad’uhun
حبة أنبتت	ḥabbatin ambatat
يضاعف لمن	yuḍā’ifu liman
أذى لهم	ażal lahum
معروف ومغفرة	ma’rụfuw wa magfirah
لا تبطلوا صدقاتكم	lā tubṭilụ ṣadaqātikum
فتركه صلدا	fa tarakahụ ṣaldā
لا يقدرون على	lā yaqdirụna ‘alā
يهدي القوم	yahdil-qaum
بربوة أصابها	birabwatin aṣābahā
وابل فطل	wābilun fa ṭall
نخيل وأعناب	nakhīliw wa a’nāb
نار فاحترقت	nārun faḥtaraqat
الآيات لعلكم تتفكرون	al-āyāti la’allakum tatafakkarụn
طيبات ما كسبتم	ṭayyibāti mā kasabtum
تيمموا الخبيث منه	tayammamul-khabīṡa min-h
غني حميد	ganiyyun ḥamīd
الفقر ويأمركم	al-faqra wa ya`murukum
يعدكم مغفرة	ya’idukum magfirah
يؤتي الحكمة	yu`til-ḥikmah
يؤت الحكمة فقد	yu`tal-ḥikmata fa qad
أولو الألباب	ulul-albāb
نفقة أو نذرتم	nafaqatin au nażartum
للظالمين من أنصار	liẓ-ẓālimīna min anṣār
وتؤتوها الفقراء	wa tu`tụhal-fuqarā`
عنكم من سيئاتكم	‘angkum min sayyi`ātikum
عليك هداهم	‘alaika hudāhum
خير فلأنفسكم	khairin fa li`anfusikum
تنفقون إلا ابتغاء	tunfiqụna illābtigā`
يوف إليكم	yuwaffa ilaikum
الجاهل أغنياء	al-jāhilu agniyā`
تعرفهم بسيماهم	ta’rifuhum bisīmāhum
الناس إلحافا	an-nāsa il-ḥāfā
سرا وعلانية	sirraw wa ‘alāniyah
من المس	minal-mass
البيع مثل	al-bai’u miṡl
وحرم الربا	wa ḥarramar-ribā
فانتهى فله	fantahā fa lah
وأمره إلى الله	wa amruhū ilallāh
عاد فأولئك	‘āda fa ulā`ik
ويربي الصدقات	wa yurbiṣ-ṣadaqāt
كفار أثيم	kaffārin aṡīm
الصالحات وأقاموا	aṣ-ṣāliḥāti wa aqāmụ
وذروا ما بقي	wa żarụ mā baqi
فأذنوا بحرب	fa`żanụ biḥarb
تبتم فلكم رءوس	tubtum fa lakum ru`ụs
عسرة فنظرة	‘usratin fa naẓirah
تصدقوا خير	taṣaddaqụ khair
ترجعون فيه	turja’ụna fīh
ثم توفى كل	ṡumma tuwaffā kull
تداينتم بدين	tadāyantum bidain
يأب كاتب	ya`ba kātib
الحق وليتق	al-ḥaqqu walyattaq
سفيها أو ضعيفا	safīhan au ḍa’īfā
واستشهدوا شهيدين	wastasy-hidụ syahīdain
فرجل وامرأتان	fa rajuluw wamra`atān
يأب الشهداء	ya`basy-syuhadā`
تكتبوه صغيرا	taktubụhu ṣagīrā
حاضرة تديرونها	ḥāḍiratan tudīrụnahā
يضار كاتب	 yuḍārra kātib
تفعلوا فإنه	taf’alụ fa innah
واتقوا الله	wattaqullāh
ويعلمكم الله	wa yu’allimukumullāh
فرهان مقبوضة	fa rihānum maqbụḍah
بعضا فليؤد	ba’ḍan falyu`ad
تكتموا الشهادة	taktumusy-syahādah
آثم قلبه	āṡimung qalbuh
تخفوه يحاسبكم	tukhfụhu yuḥāsibkum
يشاء ويعذب	yasyā`u wa yu’ażżib
ربه والمؤمنون	rabbihī wal-mu`minụn
وكتبه ورسله	wa kutubihī wa rusulih
نفرق بين	nufarriqu bain
وأطعنا غفرانك	wa aṭa’nā gufrānak
لا يكلف	lā yukallif
ما اكتسبت	maktasabat
أو أخطأنا	au akhṭa`nā
إصرا كما حملته	iṣrang kamā ḥamaltah
لا طاقة لنا	lā ṭāqata lanā
واعف عنا	wa’fu ‘annā
واغفر لنا	wagfir lanā
وارحمنا	war-ḥamnā
مولانا فانصرنا	maulānā fanṣurnā
التوراة والإنجيل	at-taurāta wal-injīl
وأنزل الفرقان	wa anzalal-furqān
كفروا بآيات	kafarụ bi`āyāt
عزيز ذو انتقام	‘azīzun żuntiqām
يخفى عليه	yakhfā ‘alaih
يصوركم في الأرحام	yuṣawwirukum fil-ar-ḥām
وأخر متشابهات	wa ukharu mutasyābihāt
زيغ فيتبعون	zaigun fayattabi’ụn
يعلم تأويله	]ya’lamu ta`wīlah
والراسخون	war-rāsikhụn
هديتنا وهب	hadaitanā wa hab
جامع الناس	jāmi’un-nās
يخلف الميعاد	yukhliful-mī’ād
تغني عنهم	tugniya ‘an-hum
وقود النار	waqụdun-nār
كدأب آل	kada`bi āl
كذبوا بآياتنا	każżabụ bi`āyātinā
بذنوبهم	biżunụbihim
شديد	syadīd
ستغلبون وتحشرون	satuglabụna wa tuḥsyarụn
وبئس المهاد	wa bi`sal-mihād
فئتين التقتا	fi`atainiltaqatā
رأي العين	ra`yal-‘aīn
يؤيد بنصره	yu`ayyidu binaṣrih
لأولي الأبصار	li`ulil-abṣār
والفضة والخيل	wal-fiḍḍati wal-khail
متاع الحياة	matā’ul-ḥayāh
حسن المآب	ḥusnul-ma`āb
أؤنبئكم بخير	a unabbi`ukum bikhair
وأزواج مطهرة	wa azwājum muṭahharah
بالعباد	bil-‘ibād
إننا آمنا	innanā āmannā
والمستغفرين بالأسحار	wal-mustagfirīna bil-as-ḥār
قائما بالقسط	qā`imam bil-qisṭ
الدين عند	ad-dīna ‘ind
بغيا بينهم	bagyam bainahum
يكفر بآيات	yakfur bi`āyāt
ومن اتبعن	 wa manittaba’an
والأميين أأسلمتم	wal-ummiyyīna a aslamtum
فقد اهتدوا	fa qadihtadau
عليك البلاغ	‘alaikal-balāg
يأمرون بالقسط	ya`murụna bil-qisṭ
من ناصرين	min nāṣirīn
أوتوا نصيبا	ụtụ naṣībā
معدودات وغرهم	ma’dụdātiw wa garrahum
جمعناهم ليوم	jama’nāhum liyaum
ووفيت كل	wa wuffiyat kull
وتنزع الملك	wa tanzi’ul-mulk
بيدك الخير	biyadikal-khaīr
وتخرج الميت	wa tukhrijul-mayyit
يتخذ المؤمنون	yattakhiżil-mu`minụn
منهم تقاة	min-hum tuqāh
ويحذركم	wa yuḥażżirukum
صدوركم أو تبدوه	ṣudụrikum au tubdụh
خير محضرا 	khairim muḥḍarā
أمدا بعيدا	amadam ba’īdā
الله نفسه	allāhu nafsah
رءوف	ra`ụf
فاتبعوني يحببكم	fattabi’ụnī yuḥbibkum
قل أطيعوا	qul aṭī’ụ
تولوا فإن	tawallau fa in
ذرية بعضها	żurriyyatam ba’ḍuhā
امرأت عمران	imra`atu ‘imrān
وضعتها أنثى	waḍa’tuhā unṡā
بما وضعت	bimā waḍa’at
الذكر كالأنثى	aż-żakaru kal-unṡā
أعيذها بك	u’īżuhā bik
بقبول حسن	biqabụlin ḥasan
زكريا المحراب	zakariyyal-miḥrāb
مريم أنى لك	maryamu annā lak
قالت هو	qālat hụ
بغير حساب	bigairi ḥisāb
دعا زكريا	da’ā zakariyyā
ذرية طيبة	żurriyyatan ṭayyibah
سميع الدعاء	samī’ud-du’ā`
قائم يصلي	qā`imuy yuṣallī
وامرأتي عاقر	wamra`atī ‘āqir
يفعل ما يشاء	yaf’alu mā yasyā`
لي آية	lī āyah
إلا رمزا	illā ramzā
بالعشي والإبكار	bil-‘asyiyyi wal-ibkār
وطهرك واصطفاك	wa ṭahharaki waṣṭafāk
مريم اقنتي	maryamuqnutī
أنباء الغيب	ambā`il-gaib
يكفل مريم	yakfulu maryam
يبشرك بكلمة	yubasysyiruki bikalimah
المهد وكهلا	al-mahdi wa kahlā
يمسسني بشر	yamsasnī basyar
والتوراة والإنجيل	wat-taurāta wal-injīl
الطين كهيئة	aṭ-ṭīni kahai`ah
الأكمه والأبرص	al-akmaha wal-abraṣ
بما تأكلون	bimā ta`kulụn
التوراة ولأحل	at-taurāti wa li`uḥill
الله وأطيعون	allāha wa aṭī’ụn
ربي وربكم	rabbī wa rabbukum
هذا صراط	hāżā ṣirāṭ
أحس عيسى	aḥassa ‘īsā
الحواريون نحن	al-ḥawāriyyụna naḥn
آمنا بالله	āmannā billāh
واشهد بأنا	wasy-had bi`annā
أنزلت واتبعنا	anzalta wattaba’nā 
ومكروا ومكر	wa makarụ wa makar
خير الماكرين	khairul-mākirīn
متوفيك ورافعك	mutawaffīka wa rāfi’uk
إلي مرجعكم	ilayya marji’ukum
كفروا فأعذبهم	kafarụ fa u’ażżibuhum
الصالحات فيوفيهم	aṣ-ṣāliḥāti fa yuwaffīhim
ذلك نتلوه	żālika natlụh
كمثل آدم	kamaṡali ādam
تراب ثم	turābin ṡumm
تعالوا ندع	ta’ālau nad’
نبتهل فنجعل	nabtahil fa naj’al
لهو القصص	inna hāżā lahuwal-qaṣaṣul-ḥaqq
عليم بالمفسدين	‘alīmum bil-mufsidīn
بعضا أربابا	ba’ḍan arbābā
فقولوا اشهدوا	fa qụlusy-hadụ
أنزلت التوراة	unzilatit-taurāh
هؤلاء حاججتم	hā`ulā`i ḥājajtum
يهوديا ولا نصرانيا	yahụdiyyaw wa lā naṣrāniyya
للذين اتبعوه	lallażīnattaba’ụh
ولي المؤمنين	waliyyul-mu`minīn
ودت طائفة	waddaṭ ṭā`ifah
يضلون إلا	yuḍillụna illā
تكفرون بآيات	takfurụna bi`āyāt
الحق بالباطل	al-ḥaqqa bil-bāṭil
وقالت طائفة	wa qālaṭ ṭā`ifah
تبع دينكم	tabi’a dīnakum
يؤتى أحد	yu`tā aḥad
الفضل بيد	al-faḍla biyad
يؤتيه من يشاء	yu`tīhi may yasyā`
تأمنه بقنطار	ta`man-hu biqinṭār
تأمنه بدينار	ta`man-hu bidīnār
الأميين سبيل	al-ummiyyīna sabīl
الكذب وهم	al-każiba wa hum
بعهده واتقى	bi’ahdihī wattaqā
يشترون بعهد	yasytarụna bi’ahd
يلوون ألسنتهم	yalwụna alsinatahum
والحكم والنبوة	wal-ḥukma wan-nubuwwah
يأمركم أن تتخذوا	ya`murakum an tattakhiżụ
بالكفر بعد	bil-kufri ba’d
لتؤمنن به	latu`minunna bih
ذلكم إصري	żālikum iṣrī
قالوا أقررنا	qālū aqrarnā
فاشهدوا وأنا	fasy-hadụ wa anā
تولى بعد	tawallā ba’d
أفغير دين	a fa gaira dīn
وعيسى والنبيون	wa ‘īsā wan-nabiyyụn
يبتغ غير	yabtagi gair
وجاءهم البينات	wa jā`ahumul-bayyināt
والناس أجمعين	wan-nāsi ajma’īn
عنهم العذاب	‘an-humul-‘ażāb
ذلك وأصلحوا	żālika wa aṣlaḥụ
لن تقبل توبتهم	lan tuqbala taubatuhum
ولو افتدى به	wa lawiftadā bih
لن تنالوا البر	lan tanālul-birr
وما تنفقوا	wa mā tunfiqụ
أن تنزل التوراة	an tunazzalat-taurāh
فأتوا بالتوراة	fa`tụ bit-taurāh
فمن افترى	fa maniftarā
صدق الله	ṣadaqallāh
فاتبعوا ملة	fattabi’ụ millāh
ببكة مباركا	bibakkata mubārak
من دخله	man dakhalah
استطاع إليه	istaṭā’a ilaih
غني عن العالمين	ganiyyun ‘anil-‘ālamīn
لم تكفرون بآيات	lima takfurụna bi`āyāt
تبغونها عوجا	tabgụnahā ‘iwajā
تطيعوا فريقا	tuṭī’ụ farīqā
تتلى عليكم	tutlā ‘alaikum
يعتصم بالله	ya’taṣim billāh
حق تقاته	ḥaqqa tuqātih
واعتصموا بحبل	wa’taṣimụ biḥabl
شفا حفرة	syafā ḥufrah
لكم آياته	lakum āyātih
بالمعروف وينهون	bil-ma’rụfi wa yan-haun
تفرقوا واختلفوا	tafarraqụ wakhtalafụ
وتسود وجوه	wa taswaddu wujụh
الذين اسودت	allażīnaswaddat
فذوقوا العذاب	fa żụqul-‘ażāb
ففي رحمة الله	fa fī raḥmatillāh
آيات الله نتلوها	āyātullāhi natlụhā
ظلما للعالمين	ẓulmal lil-‘ālamīn
أخرجت للناس	ukhrijat lin-nās
لكان خيرا	lakāna khairā
وأكثرهم الفاسقون	wa akṡaruhumul-fāsiqụn
يضروكم إلا أذى	yaḍurrụkum illā ażā
يولوكم الأدبار	yuwallụkumul-adbār
ثم لا ينصرون	ṡumma lā yunṣarụn
الأنبياء بغير حق	al-ambiyā`a bigairi ḥaqq
ليسوا سواء	laisụ sawā`ā
أمة قائمة	ummatung qā`imah
يسارعون في الخيرات	yusāri’ụna fil-khairāt
من الصالحين	minaṣ-ṣāliḥīn
فلن يكفروه	fa lay yukfarụh
أموالهم ولا أولادهم	amwāluhum wa lā aulāduhum
صر أصابت حرث	ṣirrun aṣābat ḥarṡ
تتخذوا بطانة	tattakhiżụ biṭānah
ودوا ما عنتم	waddụ mā ‘anittum
بدت البغضاء	badatil-bagḍā`
قد بينا لكم	qad bayyannā lakum
يحبونكم وتؤمنون	yuḥibbụnakum wa tu`minụn
وإذا خلوا عضوا	wa iżā khalau ‘aḍḍụ
حسنة تسؤهم	ḥasanatun tasu`hum
تصبروا وتتقوا	taṣbirụ wa tattaqụ
مقاعد للقتال	maqā’ida lil-qitāl
إذ همت طائفتان	iż hammaṭ ṭā`ifatān
ببدر وأنتم أذلة	bibadriw wa antum ażillāh
ألن يكفيكم	a lay yakfiyakum
الملائكة مسومين	al-malā`ikati musawwimīn
ولتطمئن قلوبكم	wa litaṭma`inna qulụbukum
فينقلبوا خائبين	fa yangqalibụ khā`ibīn
الأمر شيء أو يتوب	al-amri syai`un au yatụb
أضعافا مضاعفة	aḍ’āfam muḍā’afah
والرسول لعلكم	war-rasụla la’allakum
وجنة عرضها	wa jannatin ‘arḍuhā
والكاظمين الغيظ	wal-kāẓimīnal-gaiẓ
ولم يصروا	wa lam yuṣirrụ
وجنات تجري	wa jannātun tajrī
ونعم أجر العاملين	wa ni’ma ajrul-‘āmilīn
سنن فسيروا	sunanun fa sīrụ
هذا بيان	hāżā bayān
وأنتم الأعلون	wa antumul-a’laun
إن يمسسكم قرح	iy yamsaskum qar-ḥ
الأيام نداولها	al-ayyāmu nudāwiluhā
ويتخذ منكم	wa yattakhiża mingkum
وليمحص الله	wa liyumaḥḥiṣallāh
جاهدوا منكم	jāhadụ mingkum
أن تلقوه فقد	an talqauhu fa qad
محمد إلا	muḥammadun illā
قبله الرسل	qablihir-rusul
أو قتل انقلبتم	au qutilangqalabtum
ومن ينقلب	wa may yangqalib
وسيجزي الله	wa sayajzillāh
كتابا مؤجلا	kitābam mu`ajjalā
يرد ثواب	yurid ṡawāb
نؤته منها	nu`tihī min-hā
وسنجزي الشاكرين	wa sanajzisy-syākirīn
وكأين من	wa ka`ayyim min
وما استكانوا	wa mastakānụ
أمرنا وثبت	amrinā wa ṡabbit
فآتاهم الله	fa ātāhumullāh
أعقابكم فتنقلبوا	a’qābikum fa tangqalibụ
بل الله مولاكم	balillāhu maulākum
خير الناصرين	khairun nāṣirīn
كفروا الرعب بما	kafarur-ru’ba bimā
ومأواهم النار	wa ma`wāhumun-nār
مثوى الظالمين	maṡwaẓ-ẓālimīn
إذ تحسونهم بإذن	iż taḥussụnahum bi`iżn
الأمر وعصيتم	al-amri wa ‘aṣaitum
ثم صرفكم	ṡumma ṣarafakum ‘an-hum liyabtaliyakum
عفا عنكم	‘afā ‘angkum
فأثابكم غما بغم	fa aṡābakum gammam bigamm
وطائفة قد أهمتهم	 ṭā`ifatung qad ahammat-hum
إن الأمر كله	innal-amra kullah
يبدون لك	yubdụna lak
قتلنا هاهنا	qutilnā hāhunā
لبرز الذين	labarazallażīn
صدوركم وليمحص	ṣudụrikum wa liyumaḥḥiṣ
إنما استزلهم	innamastazallahum
عفا الله	‘afallāh
غزى لو كانوا	guzzal lau kānụ
حسرة في قلوبهم	ḥasratan fī qulụbihim
يحيي ويميت	yuḥyī wa yumīt
أو متم لمغفرة	au muttum lamagfirah
قتلتم لإلى الله	qutiltum la`ilallāh
فظا غليظ القلب	faẓẓan galīẓal-qalb
عزمت فتوكل	‘azamta fa tawakkal
إن ينصركم الله	iy yanṣurkumullāh
يخذلكم فمن ذا الذي	yakhżulkum fa man żallażī
فليتوكل المؤمنون	falyatawakkalil-mu`minụn
لنبي أن يغل	linabiyyin ay yagull
يغلل يأت	yaglul ya`t
ثم توفى كل	ṡumma tuwaffā kul
أفمن اتبع رضوان	a fa manittaba’a riḍwān
درجات عند	darajātun ‘ind
آياته ويزكيهم	 āyātihī wa yuzakkīhim
لفي ضلال مبين	lafī ḍalālim mubīn
مصيبة قد أصبتم	muṣībatung qad aṣabtum
عند أنفسكم	‘indi anfusikum
فبإذن الله	fa bi`iżnillāh
أو ادفعوا	awidfa’ụ
قتالا لاتبعناكم	qitālal lattaba’nākum
أقرب منهم	aqrabu min-hum
يقولون بأفواههم	yaqụlụna bi`afwāhihim
أعلم بما يكتمون	 a’lamu bimā yaktumụn
أطاعونا ما قتلوا	aṭā’ụnā mā qutilụ
فادرءوا	fadra`ụ
تحسبن الذين	taḥsabannallażīn
أحياء عند	aḥyā`un ‘ind
آتاهم الله	ātāhumullāh
يستبشرون بنعمة	yastabsyirụna bini’mah
الذين استجابوا لله	allażīnastajābụ lillāh
فاخشوهم فزادهم	fakhsyauhum fa zādahum
سوء واتبعوا	sū`uw wattaba’ụ
ذو فضل عظيم	żụ faḍlin ‘aẓīm
تخافوهم وخافون	takhāfụhum wa khāfụn
يحزنك الذين	yaḥzungkallażīn
لن يضروا الله	lay yaḍurrullāh
حظا في الآخرة	ḥaẓẓan fil-ākhirah
الذين اشتروا الكفر	allażīnasytarawul-kufr
أنما نملي	annamā numlī
ليزدادوا إثما	liyazdādū iṡmā
يميز الخبيث	yamīzal-khabīṡ
ليطلعكم	liyuṭli’akum
وتتقوا فلكم	wa tattaqụ fa lakum
هو شر لهم	huwa syarrul lahum
سيطوقون	sayuṭawwaqụn
ميراث السماوات	mīrāṡus-samāwāt
ونحن أغنياء	wa naḥnu agniyā`
وقتلهم الأنبياء	wa qatlahumul-ambiyā`
بظلام للعبيد	biẓallāmil lil-‘abīd
بقربان تأكله النار	biqurbānin ta`kuluhun-nār
وبالذي قلتم	wa billāżī qultum
جاءوا بالبينات	jā`ụ bil-bayyināt
نفس ذائقة	nafsin żā`iqah
توفون أجوركم	tuwaffauna ujụrakum
زحزح عن النار	zuḥziḥa ‘anin-nār
متاع الغرور	matā’ul-gurụr
لتبلون في	latublawunna fī
أشركوا أذى	asyrakū ażā
وتتقوا فإن	wa tattaqụ fa in
لتبيننه للناس	latubayyinunnahụ lin-nās
فبئس ما يشترون	fa bi`sa mā yasytarụn
تحسبنهم بمفازة	taḥsabannahum bimafāzh
قياما وقعودا	qiyāmaw wa qu’ụdā
خلقت هذا	khalaqta hāżā
سبحانك فقنا	sub-ḥānaka fa qinā
فقد أخزيته	fa qad akhzaitah
مناديا ينادي	munādiyay yunādī
آتنا ما وعدتنا	ātinā mā wa’attanā
 تخلف الميعاد	tukhliful-mī’ād
عمل عامل	‘amala ‘āmil
بعضكم من بعض	ba’ḍukum mim ba’ḍ
وقاتلوا وقتلوا	wa qātalụ wa qutilụ
ثوابا من	ṡawābam min
حسن الثواب	ḥusnuṡ-ṡawāb
يغرنك تقلب	yagurrannaka taqallub
متاع قليل	matā’ung qalīl
ثم مأواهم جهنم	ṡumma ma`wāhum jahannam
جنات تجري من	jannātun tajrī min
خير للأبرار	khairul lil-abrār
يشترون بآيات	yasytarụna bi`āyāt
أولئك لهم	ulā`ika lahum
سريع الحساب	sarī’ul-ḥisāb
آمنوا اصبروا	āmanuṣbirụ
رجالا كثيرا ونساء	rijālang kaṡīraw wa nisā`
به والأرحام	bihī wal-ar-ḥām
عليكم رقيبا	‘alaikum raqībā
